id,user,uid,version,timestamp,changeset
4704945,sctrojan79,2601744,19,2016-10-27T03:52:44Z,43207846
4729866,yurasi,3526564,9,2017-10-10T21:38:00Z,52807217
4729867,karitotp,2748195,8,2016-06-29T15:38:20Z,40370512
4729897,andreis_telenav,4870032,14,2018-07-02T11:08:36Z,60344668
4729900,patrick noll,6591653,17,2018-11-22T01:09:34Z,64759092
4752396,njtbusfan,8107451,17,2018-09-03T19:43:16Z,62257800
4752445,compdude,282329,35,2014-03-27T04:53:01Z,21337887
4752452,Stephen214,4018842,8,2018-02-13T22:31:21Z,56336344
4752453,yurasi,3526564,8,2017-10-10T21:54:07Z,52807471
4752457,yurasi,3526564,7,2017-10-10T21:55:46Z,52807497
4752458,karitotp,2748195,8,2017-10-10T22:05:55Z,52807655
4752466,calfarome,2511706,6,2017-10-10T21:43:01Z,52807299
4752472,karitotp,2748195,11,2016-06-29T22:56:22Z,40378566
4776030,njtbusfan,8107451,12,2018-09-03T22:18:26Z,62260842
4776039,patrick noll,6591653,18,2018-12-22T23:46:18Z,65705292
4776041,compdude,282329,5,2011-05-30T00:00:58Z,8287382
4776042,TheDutchMan13,1330847,19,2017-06-06T04:56:22Z,49293299
4776049,TheDutchMan13,1330847,13,2017-06-06T04:56:22Z,49293299
4776050,TheDutchMan13,1330847,7,2017-06-06T04:56:22Z,49293299
4776051,TheDutchMan13,1330847,6,2017-06-06T04:56:23Z,49293299
4776052,bathis,8469957,28,2018-11-20T06:33:52Z,64683225
4776083,arunkb,3007580,2,2015-09-04T20:50:12Z,33804138
4794163,mihaii_telenav,2944689,9,2018-09-21T06:48:18Z,62785459
4794167,muziriana,6058023,8,2017-10-11T05:06:02Z,52811640
4827265,pattamaa,7278445,29,2018-12-11T03:56:30Z,65362505
4827303,talukdm,8683374,49,2018-12-06T03:54:07Z,65224835
4842595,TheDutchMan13,1330847,30,2017-06-06T04:56:23Z,49293299
4842608,Luis36995,1829683,13,2016-06-30T14:31:36Z,40393693
4842614,Nick_T,678281,11,2016-07-13T22:11:36Z,40725512
4842620,Nick_T,678281,9,2016-07-13T22:11:35Z,40725512
4842629,SomeoneElse_Revert,1778799,16,2018-04-28T12:30:14Z,58502701
4842636,TheDutchMan13,1330847,7,2017-06-06T04:56:23Z,49293299
4842638,TheDutchMan13,1330847,9,2017-06-06T04:56:24Z,49293299
4842744,karitotp,2748195,12,2016-06-29T22:56:22Z,40378566
4842745,njtbusfan,8107451,9,2018-09-03T22:18:26Z,62260842
4842746,TheDutchMan13,1330847,16,2017-06-06T04:56:24Z,49293299
4842754,marthaleena,5659851,10,2017-10-11T06:23:42Z,52812633
4842756,njtbusfan,8107451,22,2018-09-03T19:43:16Z,62257800
4842757,njtbusfan,8107451,6,2018-09-03T19:43:17Z,62257800
4842789,TheDutchMan13,1330847,17,2017-06-06T04:56:24Z,49293299
4843368,TheDutchMan13,1330847,27,2017-06-06T04:56:24Z,49293299
4843484,njtbusfan,8107451,15,2018-09-06T17:16:50Z,62350382
4843485,TheDutchMan13,1330847,12,2017-06-06T04:56:25Z,49293299
4879305,patrick noll,6591653,25,2018-12-22T23:27:24Z,65705108
4879312,rambudo,2140629,14,2017-11-23T02:21:40Z,54015830
4879314,njtbusfan,8107451,24,2018-09-04T03:31:34Z,62263985
6117197,TheDutchMan13,1330847,6,2017-06-06T04:56:37Z,49293299
6117199,TheDutchMan13,1330847,6,2017-06-06T04:56:37Z,49293299
6117220,TheDutchMan13,1330847,4,2017-06-06T04:56:38Z,49293299
6117224,makkera,9018037,6,2018-12-13T16:43:43Z,65447781
6117295,TheDutchMan13,1330847,4,2017-06-06T04:56:41Z,49293299
6117375,LostSparky,354807,3,2011-01-18T22:52:32Z,7015967
6117433,danuta_telenav,8412798,2,2018-08-30T10:33:30Z,62134461
6117521,LostSparky,354807,2,2010-12-29T19:13:55Z,6801586
6117535,Dion Dock,97431,4,2015-10-03T05:30:29Z,34401657
6117537,bdp,53479,2,2008-08-08T19:19:44Z,138071
6117564,STBrenden,1340045,3,2013-12-27T22:52:33Z,19670685
6117566,STBrenden,1340045,3,2013-12-27T22:52:33Z,19670685
6117568,STBrenden,1340045,3,2013-12-27T22:52:33Z,19670685
6117572,STBrenden,1340045,3,2013-12-27T22:52:33Z,19670685
6117575,STBrenden,1340045,3,2013-12-27T22:52:33Z,19670685
6117577,Brad Meteor,1529630,2,2017-11-09T20:49:44Z,53650360
6117597,STBrenden,1340045,3,2013-05-08T19:10:10Z,16031245
6117602,SomeoneElse_Revert,1778799,6,2018-04-28T12:02:36Z,58500784
6117667,DaveHansenTiger,7168,1,2007-09-13T14:29:08Z,419226
6117861,STBrenden,1340045,7,2013-05-08T20:32:35Z,16037416
6117866,nimmalab,8446889,3,2018-11-30T11:22:08Z,65040807
6117880,STBrenden,1340045,3,2013-05-08T20:18:44Z,16037416
6117940,LostSparky,354807,2,2011-01-15T01:00:55Z,6973059
6117941,STBrenden,1340045,3,2013-05-08T21:03:17Z,16037416
6118103,Dion Dock,97431,4,2013-10-26T04:24:56Z,18546418
6118104,Dion Dock,97431,5,2013-10-26T04:24:56Z,18546418
6118105,Dion Dock,97431,5,2013-10-26T04:24:57Z,18546418
6118106,Dion Dock,97431,4,2013-10-26T04:24:57Z,18546418
6118193,KanaLee,7219130,2,2018-04-24T22:17:06Z,58390781
6118195,LostSparky,354807,2,2010-12-29T19:13:58Z,6801586
6118199,STBrenden,1340045,2,2013-12-27T22:52:34Z,19670685
6118200,STBrenden,1340045,2,2013-12-27T22:52:34Z,19670685
6118415,arming_telenav,4827171,3,2018-08-10T07:55:39Z,61524901
6118418,STBrenden,1340045,3,2013-12-27T22:52:34Z,19670685
6118424,STBrenden,1340045,2,2013-12-27T22:52:34Z,19670685
6118425,STBrenden,1340045,3,2013-12-27T22:52:34Z,19670685
6118532,DaveHansenTiger,7168,1,2007-09-13T14:46:35Z,419554
6118536,LostSparky,354807,2,2011-01-18T22:36:27Z,7015585
6118594,LostSparky,354807,2,2010-12-29T21:45:15Z,6803504
6118801,STBrenden,1340045,3,2013-05-08T20:36:47Z,16037416
6118999,Amoebabadass,11131,3,2010-01-26T22:36:21Z,3724114
6119000,patrick noll,6591653,5,2018-03-31T08:26:18Z,57682189
6119025,LostSparky,354807,2,2010-12-29T19:14:00Z,6801586
6119074,LostSparky,354807,2,2011-01-02T06:12:46Z,6835145
6119275,STBrenden,1340045,3,2013-05-08T21:23:19Z,16037416
6119296,DaveHansenTiger,7168,1,2007-09-13T14:59:26Z,419554
6119424,STBrenden,1340045,4,2013-05-08T21:13:41Z,16037416
6119455,Юкатан,3885962,13,2017-11-07T12:15:08Z,53580013
6119547,STBrenden,1340045,7,2013-05-09T21:40:03Z,16055808
6119845,mrlanduse,7439015,23,2018-01-07T18:50:36Z,55243334
6119850,Ivan Komarov,69864,4,2011-04-17T15:35:49Z,7887983
6120081,LostSparky,354807,2,2010-12-28T21:00:23Z,6792252
6120085,DaveHansenTiger,7168,1,2007-09-13T15:15:03Z,419554
6120096,piligab,3877019,3,2017-01-18T16:12:39Z,45273682
6120147,STBrenden,1340045,2,2013-05-09T20:22:56Z,16053478
6120159,LostSparky,354807,2,2011-01-18T22:10:27Z,7015585
6120195,gireeshn,8254810,4,2018-11-22T06:39:17Z,64765320
6120323,STBrenden,1340045,6,2013-05-09T21:38:58Z,16055808
6120333,marthaleena,5659851,13,2017-10-11T05:09:31Z,52811669
6120334,rsingelais,8993683,5,2018-11-29T21:07:21Z,65025060
6120336,Dion Dock,97431,2,2013-04-09T04:24:30Z,15661766
6120338,STBrenden,1340045,2,2013-05-09T20:33:06Z,16053478
6120379,Dion Dock,97431,4,2013-10-26T04:24:57Z,18546418
6120408,STBrenden,1340045,3,2013-05-08T17:22:49Z,16031245
6120409,STBrenden,1340045,3,2013-05-08T17:22:48Z,16031245
6120410,STBrenden,1340045,4,2013-05-08T17:22:48Z,16031245
6120411,STBrenden,1340045,3,2013-05-08T17:22:49Z,16031245
6120539,DaveHansenTiger,7168,1,2007-09-13T15:24:51Z,419554
6120606,STBrenden,1340045,3,2013-12-27T22:52:35Z,19670685
6120607,STBrenden,1340045,4,2013-12-27T22:52:35Z,19670685
6120632,STBrenden,1340045,3,2013-05-08T21:11:33Z,16037416
6120633,karitotp,2748195,5,2016-08-18T17:39:22Z,41540046
6120822,DaveHansenTiger,7168,1,2007-09-13T15:28:59Z,419554
6120857,LostSparky,354807,2,2011-01-02T05:43:45Z,6835145
6120859,makkera,9018037,5,2018-11-16T12:23:54Z,64564795
6120861,Natfoot,567792,5,2014-10-31T06:42:00Z,26454882
6120870,LostSparky,354807,2,2010-12-29T22:54:04Z,6804470
6120873,Dion Dock,97431,4,2013-10-26T04:24:57Z,18546418
6120876,LostSparky,354807,2,2011-01-15T01:00:59Z,6973059
6120877,LostSparky,354807,2,2011-01-15T01:00:59Z,6973059
6120879,STBrenden,1340045,3,2013-05-08T21:04:02Z,16037416
6120882,LostSparky,354807,2,2011-01-15T01:01:00Z,6973059
6120964,DaveHansenTiger,7168,1,2007-09-13T15:30:47Z,419554
6120968,LostSparky,354807,2,2010-12-29T18:20:54Z,6801586
6120969,STBrenden,1340045,2,2013-05-08T20:17:33Z,16037416
6121041,STBrenden,1340045,3,2013-12-27T22:52:35Z,19670685
6121113,LostSparky,354807,6,2012-06-02T03:39:19Z,11773278
